"","OCCUR_DATE","OCCUR_TIME","BORO","PRECINCT","JURISDICTION_CODE","LOCATION_DESC","STATISTICAL_MURDER_FLAG","PERP_AGE_GROUP","PERP_SEX","PERP_RACE","VIC_AGE_GROUP","VIC_SEX","VIC_RACE","X_COORD_CD","Y_COORD_CD","Latitude","Longitude","Lon_Lat"
"4763","01/06/2009","4:16:00","STATEN ISLAND",120,0,"COMMERCIAL BLDG","false","18-24","M","BLACK","25-44","M","BLACK","959975","171772",40.638125991,-74.087466921,"POINT (-74.08746692099999 40.63812599100004)"
"4772","11/27/2018","20:29:00","BRONX",43,0,"COMMERCIAL BLDG","false","<18","M","WHITE HISPANIC","<18","F","BLACK","1,018,183","243,066",40.83377845,-73.87737759,"POINT (-73.87737759 40.83377845)"
"4780","02/16/2009","5:24:00","MANHATTAN",6,0,"RESTAURANT/DINER","false","18-24","M","BLACK","25-44","M","WHITE HISPANIC","986176","205173",40.729837183,-73.9930523089999,"POINT (-73.99305230899995 40.72983718300003)"
"4784","12/23/2006","3:47:00","BRONX",44,0,"STORE UNCLASSIFIED","true","18-24","M","WHITE HISPANIC","18-24","M","BLACK","1006334","244426",40.8375488280001,-73.9201918759999,"POINT (-73.92019187599993 40.83754882800008)"
"4786","08/14/2016","3:33:00","MANHATTAN",9,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","WHITE HISPANIC","25-44","F","BLACK","990808","202418",40.722273155,-73.976342426,"POINT (-73.97634242599996 40.72227315500004)"
"4788","06/18/2012","0:40:00","MANHATTAN",9,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","25-44","F","WHITE HISPANIC","991103","202254",40.7218227910001,-73.9752783329999,"POINT (-73.97527833299995 40.72182279100008)"
"4793","01/07/2013","21:22:00","QUEENS",113,0,"GROCERY/BODEGA","false","18-24","M","BLACK","18-24","M","BLACK","1046410","189890",40.6876708990001,-73.7758655489999,"POINT (-73.77586554899995 40.687670899000075)"
"4794","05/06/2014","5:07:00","BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS","false","<18","M","BLACK","18-24","M","BLACK","999983","195658",40.703707008,-73.943257966,"POINT (-73.94325796599996 40.70370700800004)"
"4798","10/09/2007","14:34:00","QUEENS",106,0,"MULTI DWELL - APT BUILD","false","18-24","M","WHITE","25-44","M","WHITE","1024624","180905",40.6631353170001,-73.854474925,"POINT (-73.85447492499998 40.66313531700007)"
"4799","10/03/2007","23:15:00","BROOKLYN",73,0,"LIQUOR STORE","false","18-24","M","BLACK","25-44","M","BLACK","1010184","182785",40.6683495660001,-73.906516063,"POINT (-73.90651606299997 40.66834956600008)"
"4801","01/31/2018","11:50:00","BRONX",40,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","25-44","M","BLACK","1,005,041","234,533",40.81039849,-73.92489531,"POINT (-73.92489531 40.81039849)"
"4803","01/15/2015","3:59:00","QUEENS",106,0,"HOTEL/MOTEL","false","18-24","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC","1032780","186007",40.677098195,-73.82504028,"POINT (-73.82504027999995 40.677098195000035)"
"4809","04/01/2014","18:10:00","BRONX",42,2,"MULTI DWELL - APT BUILD","false","25-44","M","WHITE HISPANIC","25-44","M","BLACK","1015430","243958",40.836236875,-73.887321962,"POINT (-73.88732196199999 40.83623687500005)"
"4813","08/20/2014","23:30:00","STATEN ISLAND",121,0,"MULTI DWELL - APT BUILD","false","25-44","M","BLACK","<18","M","BLACK","942825","166367",40.6232268190001,-74.1492269729999,"POINT (-74.14922697299994 40.623226819000074)"
"4815","09/11/2016","21:40:00","BROOKLYN",83,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","WHITE HISPANIC","18-24","F","WHITE HISPANIC","1006012","192863",40.6960226150001,-73.9215224929999,"POINT (-73.92152249299994 40.69602261500006)"
"4816","12/18/2009","16:35:00","BROOKLYN",62,0,"PVT HOUSE","false","25-44","M","BLACK","45-64","F","WHITE","982833","163572",40.615651864,-74.005105327,"POINT (-74.00510532699998 40.61565186400002)"
"4820","08/29/2017","21:09:00","BRONX",42,2,"MULTI DWELL - PUBLIC HOUS","true","25-44","M","BLACK","18-24","M","BLACK","1010725","238488",40.8212386530001,-73.904346644,"POINT (-73.90434664399999 40.82123865300008)"
"4834","01/05/2007","23:00:00","QUEENS",114,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","18-24","M","BLACK","1003022","216518",40.760956654,-73.9322391549999,"POINT (-73.93223915499993 40.76095665400004)"
"4840","03/05/2006","2:25:00","BRONX",40,0,"NONE","false","<18","M","BLACK","<18","M","BLACK","1004544","235022",40.811741818,-73.926689213,"POINT (-73.92668921299997 40.81174181800004)"
"4842","06/09/2010","12:34:00","STATEN ISLAND",120,0,"DRY CLEANER/LAUNDRY","false","25-44","M","BLACK","45-64","F","BLACK","959974","172022",40.6388121840001,-74.087471423,"POINT (-74.08747142299995 40.63881218400008)"
"4847","04/17/2012","15:11:00","BROOKLYN",75,0,"PVT HOUSE","true","18-24","M","BLACK HISPANIC","18-24","M","BLACK","1018565","183895",40.6713677500001,-73.876299105,"POINT (-73.87629910499999 40.67136775000005)"
"4852","09/03/2009","3:57:00","BROOKLYN",90,2,"MULTI DWELL - PUBLIC HOUS","true","25-44","M","BLACK","18-24","M","BLACK","1001079","195776",40.704028873,-73.93930478,"POINT (-73.93930477999999 40.70402887300003)"
"4858","07/17/2009","17:57:00","MANHATTAN",23,0,"GROCERY/BODEGA","false","25-44","M","BLACK HISPANIC","25-44","M","BLACK HISPANIC","998368","228659",40.794289156,-73.949013436,"POINT (-73.94901343599996 40.79428915600005)"
"4859","04/17/2009","3:19:00","QUEENS",114,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","F","BLACK","25-44","F","BLACK","1002294","221703",40.775189647,-73.934853135,"POINT (-73.93485313499998 40.77518964700005)"
"4867","07/19/2008","2:45:00","MANHATTAN",23,0,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK HISPANIC","<18","F","WHITE HISPANIC","998730","226827",40.789260224,-73.947710001,"POINT (-73.94771000099996 40.78926022400003)"
"4868","01/06/2018","21:05:00","BRONX",47,0,"MULTI DWELL - APT BUILD","true","25-44","M","BLACK","45-64","F","WHITE HISPANIC","1,024,405","267,090",40.89969085,-73.8547492,"POINT (-73.8547492 40.89969085)"
"4877","08/07/2009","1:14:00","BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK","1020214","183053",40.669050105,-73.870359116,"POINT (-73.87035911599996 40.669050105000046)"
"4879","04/08/2008","22:00:00","BROOKLYN",75,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK","18-24","M","BLACK","1012777","182476",40.6674934550001,-73.897170283,"POINT (-73.89717028299998 40.667493455000056)"
"4883","04/08/2011","23:48:00","BROOKLYN",88,0,"LIQUOR STORE","false","18-24","M","BLACK","25-44","M","BLACK","991475","192908",40.6961699350001,-73.973946321,"POINT (-73.97394632099997 40.69616993500005)"
"4891","05/13/2011","19:35:00","BRONX",40,2,"MULTI DWELL - PUBLIC HOUS","true","45-64","M","WHITE HISPANIC","25-44","M","BLACK","1005710","233682",40.8080611350001,-73.922481314,"POINT (-73.92248131399998 40.80806113500005)"
"4898","01/08/2006","3:40:00","BROOKLYN",67,0,"NONE","false","18-24","M","BLACK","<18","M","BLACK","1003875","179582",40.6595742740001,-73.929267692,"POINT (-73.92926769199995 40.659574274000086)"
"4899","07/26/2012","2:01:00","BRONX",40,2,"MULTI DWELL - PUBLIC HOUS","true","25-44","M","BLACK","25-44","M","BLACK","1009821","236559",40.815946755,-73.907620165,"POINT (-73.90762016499998 40.81594675500003)"
"4902","07/06/2013","18:20:00","BROOKLYN",79,2,"MULTI DWELL - PUBLIC HOUS","true","18-24","M","BLACK","<18","M","BLACK","998160","193776",40.6985444110001,-73.949836781,"POINT (-73.949836781 40.69854441100006)"
"4904","01/17/2006","21:56:00","BRONX",40,0,"GROCERY/BODEGA","true","18-24","M","BLACK","18-24","M","BLACK","1006985","238153",40.82032959,-73.917860479,"POINT (-73.91786047899996 40.82032959000002)"
"4905","03/17/2010","14:02:00","MANHATTAN",23,0,"GROCERY/BODEGA","false","25-44","M","BLACK","45-64","M","BLACK","999569","227672",40.7915781070001,-73.9446782039999,"POINT (-73.94467820399994 40.79157810700008)"
"4907","06/14/2015","6:46:00","BRONX",43,2,"MULTI DWELL - PUBLIC HOUS","false","<18","M","BLACK","18-24","M","BLACK HISPANIC","1018829","243631",40.835326701,-73.875040226,"POINT (-73.87504022599995 40.835326701000035)"
"4909","07/20/2014","0:28:00","QUEENS",100,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK","1036867","153432",40.5876635700001,-73.810559779,"POINT (-73.81055977899997 40.587663570000075)"
"4912","11/09/2011","18:59:00","BRONX",44,0,"HOSPITAL","false","18-24","M","BLACK","45-64","M","BLACK","1008669","246692",40.843762188,-73.911745153,"POINT (-73.91174515299997 40.84376218800003)"
"4919","04/21/2006","23:45:00","MANHATTAN",30,0,"NONE","false","18-24","M","WHITE HISPANIC","25-44","M","BLACK HISPANIC","996959","237594",40.8188154050001,-73.95408521,"POINT (-73.95408520999997 40.81881540500007)"
"4920","05/14/2017","9:35:00","QUEENS",107,0,"MULTI DWELL - APT BUILD","false","25-44","M","ASIAN / PACIFIC ISLANDER","25-44","F","ASIAN / PACIFIC ISLANDER","1034385","201285",40.7190237190001,-73.819140202,"POINT (-73.81914020199997 40.71902371900006)"
"4928","01/06/2018","21:05:00","BRONX",47,0,"MULTI DWELL - APT BUILD","true","18-24","M","WHITE HISPANIC","45-64","F","WHITE HISPANIC","1,024,405","267,090",40.89969085,-73.8547492,"POINT (-73.8547492 40.89969085)"
"4947","10/04/2013","17:46:00","BROOKLYN",63,0,"MULTI DWELL - PUBLIC HOUS","true","18-24","M","BLACK","25-44","M","BLACK","1006048","171108",40.6363099010001,-73.921463005,"POINT (-73.92146300499998 40.63630990100006)"
"4950","01/24/2008","15:04:00","MANHATTAN",23,0,"MULTI DWELL - APT BUILD","false","18-24","M","BLACK HISPANIC","18-24","M","BLACK HISPANIC","999484","228041",40.7925910600001,-73.9449843359999,"POINT (-73.94498433599993 40.79259106000006)"
"4952","07/02/2012","2:40:00","QUEENS",100,0,"GROCERY/BODEGA","false","25-44","M","BLACK","25-44","M","BLACK","1041003","155344",40.592886099,-73.795652564,"POINT (-73.79565256399997 40.59288609900005)"
"4957","05/17/2014","5:06:00","BRONX",47,0,"BAR/NIGHT CLUB","false","25-44","M","BLACK","25-44","M","BLACK","1025317","267440",40.9006472830001,-73.8514480919999,"POINT (-73.85144809199994 40.90064728300007)"
"4962","06/15/2016","6:40:00","BRONX",47,0,"PVT HOUSE","true","25-44","M","BLACK","25-44","F","BLACK","1022562","262118",40.886052491,-73.8614443,"POINT (-73.86144429999997 40.886052491000044)"
"4967","03/28/2017","18:30:00","BROOKLYN",81,0,"GROCERY/BODEGA","false","25-44","M","BLACK","45-64","M","BLACK","1001242","189377",40.686464792,-73.9387330339999,"POINT (-73.93873303399994 40.68646479200004)"
"4970","12/21/2017","0:10:00","STATEN ISLAND",121,0,"MULTI DWELL - APT BUILD","true","25-44","M","BLACK","25-44","F","WHITE","944193","168636",40.6294610310001,-74.144312493,"POINT (-74.14431249299997 40.62946103100006)"
"4975","09/01/2010","22:00:00","MANHATTAN",23,2,"MULTI DWELL - PUBLIC HOUS","false","18-24","M","BLACK HISPANIC","18-24","M","BLACK","1000102","229680",40.7970885840001,-73.9427485799999,"POINT (-73.94274857999993 40.79708858400005)"
"4976","07/04/2012","4:26:00","BROOKLYN",69,2,"MULTI DWELL - PUBLIC HOUS","false","25-44","M","BLACK","25-44","M","BLACK","1013655","177161",40.652902087,-73.89402854,"POINT (-73.89402853999997 40.65290208700002)"
"4982","05/30/2009","1:20:00","BROOKLYN",83,0,"MULTI DWELL - APT BUILD","false","18-24","M","BLACK","18-24","M","BLACK","1006821","194383",40.700192633,-73.9185999539999,"POINT (-73.91859995399994 40.70019263300003)"
